	0	19	0	1072025	31072025	SUPERMERCADO FRUTILÂNDIA LTDA	4,79296E+12		MS	283206993	5007901			A	1																							
	C170	7	PROD42396	RACAO PEDIGREE 900G ADULTO CARNE/VEGETAIS	6	UN	92,34	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	72	0	0			0	72	0	0			0		0
	C170	8	PROD40241	RACAO PEDIGREE 900G FILHOTES R.MD.G.	6	UN	91,68	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	72	0	0			0	72	0	0			0		0
	C170	9	PROD42397	RACAO PEDIGREE 900G ADULTO RACAS PEQUENAS	6	UN	91,62	0	0	60	1403	NAT01403	0	0	0	0	0	0				0	0	0	72	0	0			0	72	0	0			0		0
	C190	60	1403	0	641,69	0	0	0	0	0	0																											
	C195	148620																																				
	C100	0	1	FORN236	55	0	0	1336504	5,02507E+43	16072025	23072025	1837,86	1	0	0	1827,06	9	0	0	10,8	1837,86	312,44	0	0	0	30,34	139,66	0	0									
	C170	1	PROD46020	HAVAIANA COLOR ROA FLUX 25/26	6	UN	79,48	0	0	500	1102	NAT01102	79,95	17	13,59	0	0	0				0	0	0	50	79,95	1,65			1,32	50	79,95	7,6			6,08		0
	C170	2	PROD39722	HAVAIANA DUAL PRETO CINZA 37/38	1	UN	47,5	0	0	500	1102	NAT01102	47,78	17	8,12	0	0	0				0	0	0	50	47,78	1,65			0,79	50	47,78	7,6			3,63		0
	C170	3	PROD39723	HAVAIANA DUAL PRETO CINZA 39/40	2	UN	95	0	0	500	1102	NAT01102	95,56	17	16,25	0	0	0				0	0	0	50	95,56	1,65			1,58	50	95,56	7,6			7,26		0
	C170	4	PROD39724	HAVAIANA DUAL PRETO CINZA 41/42	2	UN	95	0	0	500	1102	NAT01102	95,56	17	16,25	0	0	0				0	0	0	50	95,56	1,65			1,58	50	95,56	7,6			7,26		0
	C170	5	PROD40521	HAVAIANA DUAL PRETO CINZA 43/44	2	UN	95	0	0	500	1102	NAT01102	95,56	17	16,25	0	0	0				0	0	0	50	95,56	1,65			1,58	50	95,56	7,6			7,26		0
	C170	6	PROD42010	HAVAIANA DUAL PRETO CINZA ACO 45/46	1	UN	47,5	0	0	500	1102	NAT01102	47,78	17	8,12	0	0	0				0	0	0	50	47,78	1,65			0,79	50	47,78	7,6			3,63		0
	C170	7	PROD43874	HAVAIANA DUAL VERDE OLIVE/BRANCO 39/40	2	UN	91,36	0	0	500	1102	NAT01102	91,9	17	15,62	0	0	0				0	0	0	50	91,9	1,65			1,52	50	91,9	7,6			6,98		0
	C170	8	PROD43873	HAVAIANA DUAL VERDE OLIVE/BRANCO 41/42	2	UN	91,36	0	0	500	1102	NAT01102	91,9	17	15,62	0	0	0				0	0	0	50	91,9	1,65			1,52	50	91,9	7,6			6,98		0
	C170	9	PROD43872	HAVAIANA DUAL VERDE OLIVE/BRANCO 43/44	2	UN	91,36	0	0	500	1102	NAT01102	91,9	17	15,62	0	0	0				0	0	0	50	91,9	1,65			1,52	50	91,9	7,6			6,98		0
	C170	10	PROD46016	HAVAIANA DUAL VERDE OLIVE/BRANCO 45/46	1	UN	45,68	0	0	500	1102	NAT01102	45,95	17	7,81	0	0	0				0	0	0	50	45,95	1,65			0,76	50	45,95	7,6			3,49		0
